AMANDA, , BELL, , F, , 12/30/2003, 570-811-9657, 570-811-9657, 340 BEACH 66ST, PH, FAR ROCKAWAY, NY, 11692, , ABELL@AMGGT.COM, , 15790506, 
ELIDA, SHARRI, CASTELLANOS, , F, , 12/18/2009, 934-529-2851, 934-529-2851, 115 E MOSHOLU PARKWAY, B24, BRONX, NY, 10467, , ECASTELLANOS@AMGGT.COM, 745448, 15861306, 
ELIDA, , CASTELLANOS, , F, , 12/18/2009, 934-529-2851, 267-107-1805^^934-529-2851, 786 E149TH STREET, 2D, BRONX, NY, 10455, , , 748130, 15960294, 

STEPHANIE, , DEPESTRE, , F, , 12/28/1995, , , , , , , , , , , 15827181, 
STEPHANIE, , DEPESTRE, , F, , 12/28/1995, 862-345-8377, 718-240-9962^^862-345-8377, 139 EDGECOMBE AVENUE, 2A, NY, NY, 10030, , , 773191, 16005898, 
STEPHANIE, , DEPESTRE, , F, , 12/28/1995, 848-687-3365, 848-687-3365, 139 EDGECOMBE AVENUE, 2A, NEW YORK, NY, 10030, , SDEPESTRE@AMGGT.COM, 789719, 15627923, 

LALE, , MARASA, , F, , 12/23/2004, , , , , , , , , , , 15772055, 
LALE, ANGELAALIYE, MARASA, , F, , 12/23/2004, 484-613-1172, 848-976-3841^^484-613-1172, 9105 JAMAICA AVENUE, 2A, WOODHAVEN, NY, 11421, , , 747092, 15478186, 
LALE, ANGELAALIYE, MARASA, , F, , 12/23/2004, 484-613-1172, 484-613-1172, 8438 90 STREET, PH, WOODHAVEN, NY, 11421, , LMARASA@AMGGT.COM, 763852, 15385400, 

RUTH, , REED, , F, , 7/16/2003, , , , , , , , , , , 15508310, 
RUTH, SARAH, REED, , F, , 7/16/2003, 201-665-8839, 732-931-1813^^201-665-8839, 1414 HAZEN STREET, , , , , , , 720648, 15921347, 
RUTH, SARAH, REED, , F, , 7/16/2003, 516-277-9977, 516-277-9977, 1414 HAZEN STREET, , ELMHURST, NY, 11377, , , 725007, 15662526, 

MEGAN, , BURKE, , F, , 12/12/2015, , , , , , , , , , , 15949730, 
MEGAN, , BURKE, , F, , 12/12/2015, 212-469-4186, 212-469-4186, 400 EAST 30TH STREET, SHT, NEW YORK, NY, 10016, , , 822708, 15995436, 
MEGAN, , BURKE, , F, , 12/12/2015, 212-469-4186, 212-469-4186, 294 MENAHAN STREET, , BROOKLYN, NY, 11237, , MBURKE@AMGGT.COM, 829164, 15984534, 

MICHELLE, , WILLIAMS, , F, , 5/3/2004, , , , , , , , , , , 15857699, 
MICHELLE, , WILLIAMS, , F, , 5/3/2004, 845-959-2968, 917-540-4409^^845-959-2968, 577 EMPIRE BOULEVARD, 20C, BROOKLYN, NY, 11225, , , 799314, 15660035, 
MICHELLE, , WILLIAMS, , F, , 5/3/2004, 934-537-8048, 934-537-8048, 577 EMPIRE BOULEVARD, 26, BROOKLYN, NY, 11225, DATT, MWILLIAMS@AMGGT.COM, 799327, 15795083, 

JOANNA, , HAWES, , F, , 10/20/1993, , , 253 W 135TH STREET, , , , 10036, , , , 15461345, 
JOANNA, TASHA, HAWES, , F, , 10/20/1993, 848-386-5624, 848-386-5624, 100 PITT STREET, 20E, NEW YORK, NY, 10002, , , 736795, 15584357, 
JOANNA, , HAWES, , F, , 10/20/1993, 848-386-5624, 848-386-5624, 253 W 135TH STREET, , NEW YORK, NY, 10036, , , 809273, 15982418, 

RYAN, , DOODY, , M, , 10/8/1993, , , , , , , , , , , 15392908, 
RYAN, TERRENCE, DOODY, , M, , 10/8/1993, 959-422-4737, 570-458-1343^^959-422-4737, 16011 89TH AVENUE, 419, JAMAICA, NY, 11433, , , 713127, 15721233, 
RYAN, , DOODY, , M, , 10/8/1993, 959-422-4737, 959-422-4737, 2946 WEST 23RD STREET, 419, BROOKLYN, NY, 11212, , RDOODY@AMGGT.COM, 799298, 15833323, 

LUIS, , VALERDI, , M, , 9/28/1969, , , , , , , , , , , 15682719, 
LUIS, E, VALERDI, , M, , 9/28/1969, 631-464-4435, 484-426-2298^^631-464-4435, , , , , , , , 729654, 15963622, 
LUIS, E, VALERDI, , M, , 9/28/1969, 934-101-4486, 934-101-4486, 7812 35TH AVENUE, 6F, JACKSON HEIGHTS, NY, 11372, , , 777006, 15543306, 

ROBERT, D, SCHIMKE, , M, , 12/17/2004, , , 3825 PARSONS BOULEVARD, 4G, , , 11354, , , , 15406781, 
ROBERT, D, SCHIMKE, , M, , 12/17/2004, 203-846-6328, 203-846-6328, 3825 PARSONS BOULEVARD, 4G, FLUSHING, NY, 11354, , , 800752, 15638637, 
ROBERT, DONALD, SCHIMKE, , M, , 12/17/2004, 203-846-6328, 203-846-6328, 11458 198TH STREET, , ST ALBANS, NY, 11412, , , 816365, 15564472, 

CLINTON, , STARKS, , M, , 12/20/1979, , , , , , , , , , , 16026537, 
CLINTON, , STARKS, , M, , 12/20/1979, 518-349-7441, 518-349-7441, , , , , , LYONS, CSTARKS@AMGGT.COM, 783787, 15421435, 
CLINTON, MARCUS, STARKS, , M, , 12/20/1979, 973-699-4203, 609-663-4716^^973-699-4203, 15 CLINTON AVENUE, PH, ROCKVILLE CENTRE, NY, 11570, , , 815346, 15715454, 

MARIA, A, WILSON, , F, , 12/7/2014, , , 943 BRUCKNER BOULEVARD, 4E, , , 10459, , , , 15518834, 
MARIA, ASHLEY, WILSON, , F, , 12/7/2014, 860-608-3709, 860-608-3709, 800 FOX STREET, 3C, BRONX, NY, 10459, , MWILSON@AMGGT.COM, 812832, 15918366, 
MARIA, A, WILSON, , F, , 12/7/2014, 860-608-3709, 860-608-3709, 943 BRUCKNER BOULEVARD, 4E, BRONX, NY, 10459, , , 819998, 15936498, 

NATHAN, , CARDONA, , M, , 5/9/2004, , , , , , , , , , , 15478600, 
NATHAN, WILLIAM, CARDONA, , M, , 5/9/2004, 862-446-8448, 862-446-8448, 2830 OLINVILLE AVENUE, 5E, BRONX, NY, 10467, , , 771503, 15883935, 
NATHAN, , CARDONA, , M, , 5/9/2004, 862-446-8448, 862-446-8448, 739 ARNOW AVENUE, BSMT, BRONX, NY, 10467, , , 800827, 16028237, 

VELMA, , STONE, , F, , 12/3/2009, , , , , , , , , , , 15828064, 
VELMA, C, STONE, , F, , 12/3/2009, 862-764-8404, 862-764-8404, 2055 HAVILAND AVENUE, PH, BRONX, NY, 10472, , , 748357, 15863923, 
VELMA, CONNIE, STONE, , F, , 12/3/2009, 862-764-8404, 862-764-8404, 1939 BOGART AVENUE, 2FL, BRONX, NY, 10462, , VSTONE@AMGGT.COM, 797637, 15901157, 

ERIC, J, JONES, , M, , 11/26/2013, , , 871 LONGWOOD AVENUE, 4 C, , , 10459, PRIETO, , , 15798634, 
ERIC, JOHN, JONES, , M, , 11/26/2013, 267-468-1184, 267-468-1184, 381 BEDFORD BOULEVARD, 2, BRONX, NY, 10458, , , 721151, 15412475, 
ERIC, J, JONES, , M, , 11/26/2013, 267-468-1184, 267-468-1184, 871 LONGWOOD AVENUE, 4 C, BRONX, NY, 10459, PRIETO, EJONES@AMGGT.COM, 800049, 15514745, 

CHARLES, E, KIMBROUGH, , M, , 5/5/2014, , , 2257 HAVILAND AVENUE, 1C, , , 10462, , , , 15868516, 
CHARLES, E, KIMBROUGH, , M, , 5/5/2014, 551-598-3585, 570-966-3664^^551-598-3585, 2257 HAVILAND AVENUE, 1C, BRONX, NY, 10462, , , 711401, 15527719, 
CHARLES, E, KIMBROUGH, , M, , 5/5/2014, 551-598-3585, 551-598-3585, 2284 LACOMBE AVENUE, H, BRONX, NY, 10473, , , 745295, 15596434, 

JUAN, , CIVIL, , M, , 10/7/2014, , , , , , , , , , , 15441739, 
JUAN, D, CIVIL, , M, , 10/7/2014, 862-949-9463, 862-949-9463, , , , , , , , 721375, 15639999, 
JUAN, DWAYNE, CIVIL, , M, , 10/7/2014, 862-949-9463, 862-949-9463, , , , , , , JCIVIL@AMGGT.COM, 803799, 15478730, 

TANNER, , JIMENEZ, , M, , 12/28/2008, , , , , , , , , , , 15594690, 
TANNER, , JIMENEZ, , M, , 12/28/2008, 212-521-2498, 212-521-2498, 2035 MAYFLOWER AVENUE, 4, BRONX, NY, 10461, , , 721409, 15899379, 
TANNER, DANNY, JIMENEZ, , M, , 12/28/2008, 212-521-2498, 212-521-2498, 1720 MAYFLOWER AVENUE, PH, BRONX, NY, 10461, , , 737122, 15399102, 

RAUL, J, FIGUEROA, , M, , 5/14/2013, , , 430 EAST 30TH STREET, , , , 10016, , , , 15994668, 
RAUL, JEROMY, FIGUEROA, , M, , 5/14/2013, 610-459-9692, 610-459-9692, 1414 HAZEN STREET, , FLUSHING, NY, 11370, , , 788052, 15770750, 
RAUL, J, FIGUEROA, , M, , 5/14/2013, 610-459-9692, 610-459-9692, 430 EAST 30TH STREET, , NEW YORK, NY, 10016, , , 803726, 15500244, 

LESLIE, , PONDER, , M, , 12/9/1990, , , , , , , , , , , 16018582, 
LESLIE, , PONDER, , M, , 12/9/1990, 212-401-6960, 973-635-9448^^212-401-6960, 315 SUTTER AVENUE, 1, BKLYN, NY, 11212, , , 718426, 15446503, 
LESLIE, , PONDER, , M, , 12/9/1990, 845-804-1646, 845-804-1646, 315 SUTTER AVENUE, 19C, BROOKLYN, NY, 11212, , LPONDER@AMGGT.COM, 729684, 15438015, 

ROSE, , MARTI, , F, , 12/27/1951, , , , , , , , , , , 15529631, 
ROSE, SHARON, MARTI, , F, , 12/27/1951, 212-692-2989, 212-692-2989, 402 E52ND STREET, PVT, BROOKLYN, NY, 11203, , RMARTI@AMGGT.COM, 744340, 15456608, 
ROSE, SHARON, MARTI, , F, , 12/27/1951, 201-114-4861, 631-408-2765^^201-114-4861, 1045 STREET JOHNS, E3, BROOKLYN, NY, 11213, , , 763929, 15781630, 

SEBASTIAN, , GOMEZ, , M, , 3/5/1994, , , , , , , , , , , 15547607, 
SEBASTIAN, , GOMEZ, , M, , 3/5/1994, 860-984-5910, 860-984-5910, 265 E BURNSIDE AVENUE, 1FL, BRONX, NY, 10457, , , 753643, 15649729, 
SEBASTIAN, IAN, GOMEZ, , M, , 3/5/1994, 860-984-5910, 860-984-5910, 2265 BURNSIDE AVENUE, 411, BRONX, NY, 10452, , SGOMEZ@AMGGT.COM, 788147, 15605012, 

JOSE, , BOONE, , M, , 4/2/2008, , , 1304 SHERIDAIN AVENUE, 1C, , , 10457, , , , 16014764, 
JOSE, , BOONE, , M, , 4/2/2008, 929-446-5686, 929-446-5686, 1304 SHERIDAIN AVENUE, 1C, BRONX, NY, 10457, , , 774311, 15416832, 
JOSE, LAWRENCE, BOONE, , M, , 4/2/2008, 929-446-5686, 929-446-5686, 246 CENTER AVENUE, , NEW ROCHELL, NY, 10805, , JBOONE@AMGGT.COM, 818062, 15690599, 

CINDY, , BUNTING, , F, , 6/12/2005, , , 145 SEVENTH AVENUE, 2, , , 10035, , , , 15590342, 
CINDY, , BUNTING, , F, , 6/12/2005, 610-269-4977, 917-250-3888^^610-269-4977, 145 SEVENTH AVENUE, 2, NEW YORK, NY, 10035, , , 781890, 15753165, 
CINDY, MILDRED, BUNTING, , F, , 6/12/2005, 610-269-4977, 610-269-4977, 145 7TH AVENUE, 2, NEW YORK, NY, 10035, , CBUNTING@AMGGT.COM, 820390, 15970810, 

LILLY, L, SOMMERS, , F, , 6/14/2012, , , 225 EAST 45TH STREET, , , , 10017, , , , 15803890, 
LILLY, L, SOMMERS, , F, , 6/14/2012, 934-826-6202, 934-826-6202, 219 EAST 121ST STREET, , NEW YORK, NY, 10035, , , 804465, 15652498, 
LILLY, L, SOMMERS, , F, , 6/14/2012, 934-826-6202, 934-826-6202, 225 EAST 45TH STREET, , NEW YORK, NY, 10017, , , 814910, 15792458, 

JOSE, , WILLIAMS, , M, , 10/6/2008, , , , , , , , , , , 15789537, 
JOSE, , WILLIAMS, , M, , 10/6/2008, 908-334-2899, 908-334-2899, 1551 UNIONPORT ROAD, 12 E, BRONX, NY, 10462, , JWILLIAMS@AMGGT.COM, 756866, 15553473, 
JOSE, DANNY, WILLIAMS, , M, , 10/6/2008, 908-334-2899, 908-334-2899, 1551 UNIONPORT ROAD, 12E, BRONX, NY, 10462, , , 811250, 15891143, 

RICHARD, , ENGELMAN, , M, , 4/2/1928, , , , , , , , , , , 15637095, 
RICHARD, DUSTIN, ENGELMAN, , M, , 4/2/1928, 973-901-6175, 347-282-9584^^973-901-6175, , , , , , , , 747166, 15499214, 
RICHARD, DUSTIN, ENGELMAN, , M, , 4/2/1928, 610-836-1915, 610-836-1915, 310 SO 1ST STREET, , BROOKLYN, NY, 11221, , , 747178, 15869455, 

DAVID, , GARCIA, , M, , 2/2/2009, , , 3055 BOUCK AVENUE, , , , 10469, , , , 15613416, 
DAVID, , GARCIA, , M, , 2/2/2009, 908-991-3973, 908-991-3973, 1187 EAST 226 DRIVE SOUTH, 3D, BX, NY, 10466, , , 768124, 15392980, 
DAVID, , GARCIA, , M, , 2/2/2009, 908-991-3973, 908-991-3973, 3055 BOUCK AVENUE, , BRONX, NY, 10469, , , 808603, 15704234, 

SARAH, , VALDES, , F, , 2/24/2012, , , 462 FIRST AVENUE, XXXX, , , 10016, , , , 15690607, 
SARAH, , VALDES, , F, , 2/24/2012, 484-273-5896, 484-273-5896, 462 FIRST AVENUE, XXXX, NEW YORK, NY, 10016, , , 736817, 15651174, 
SARAH, , VALDES, , F, , 2/24/2012, 484-273-5896, 484-273-5896, 806 FAIRMOUNT PLACE, 6F, BRONX, NY, 10454, , , 784731, 15623627, 

MELANIE, , LYON, , F, , 12/15/1992, , , , , , , , , , , 15393432, 
MELANIE, , LYON, , F, , 12/15/1992, 862-731-8999, 862-731-8999, 60 BARUCH DRIVE, 12E, NEW YORK, NY, 10002, , MLYON@AMGGT.COM, 786852, 15683517, 
MELANIE, , LYON, , F, , 12/15/1992, 631-171-8670, 516-154-3772^^631-171-8670, 60 BARUCH DRIVE, 12E, NEW YORK, NY, 10002, , , 813658, 15810024, 

DONI, , BISHOP, , F, , 9/20/1995, , , 4090 BOSTON ROAD, , , , 10475, , , , 15812760, 
DONI, , BISHOP, , F, , 9/20/1995, 516-304-3441, 516-304-3441, 630 E 240TH STREET, , BRONX, NY, 10466, , , 753164, 15864238, 
DONI, , BISHOP, , F, , 9/20/1995, 516-304-3441, 516-304-3441, 4090 BOSTON ROAD, , BRONX, NY, 10475, , , 815846, 15387895, 

ROSIE, , BUSER, , F, , 2/7/2007, , , 300 EAST 158TH STREET, 8C, , , 10451, , , , 15527948, 
ROSIE, , BUSER, , F, , 2/7/2007, 516-429-4641, 516-429-4641, 1137 WARD AVENUE, PH, BRONX, NY, 10472, , , 750296, 15493815, 
ROSIE, , BUSER, , F, , 2/7/2007, 516-429-4641, 516-429-4641, 300 EAST 158TH STREET, 8C, BRONX, NY, 10451, , RBUSER@AMGGT.COM, 809792, 16017371, 

AVA, , YADA, , F, , 2/16/1991, , , , , , , , , , , 15751946, 
AVA, , YADA, , F, , 2/16/1991, 845-204-9131, 845-204-9131, 3171 ELDER AVENUE, C8, BRONX, NY, 10474, , , 716602, 15713656, 
AVA, , YADA, , F, , 2/16/1991, 845-204-9131, 845-204-9131, 1171 ELDER AVENUE, BSMT, BRONX, NY, 10472, , , 791634, 15770066, 

KARIN, , CRAVEIRO, , F, , 7/16/1949, , , , , , , , , , , 15723063, 
KARIN, DIXIE, CRAVEIRO, , F, , 7/16/1949, 860-559-6638, 860-559-6638, 972 ANDERSON AVENUE, 2D, BRONX, NY, 10452, , , 764131, 15630212, 
KARIN, , CRAVEIRO, , F, , 7/16/1949, , , 61 GROVE STREET, 2FL, LODI, NJ, 7644, , , 767110, 15777641, 

ROBERT, DONNIE, OHAGAN, , M, , 11/27/2006, , , 14412 VILLAGE ROAD, 63E, , , 11435, , , , 15785965, 
ROBERT, , OHAGAN, , M, , 11/27/2006, 908-865-1648, 908-865-1648, 73 CRYSTAL AVENUE, PH, NJ, NJ, 7052, , , 736368, 15933977, 
ROBERT, DONNIE, OHAGAN, , M, , 11/27/2006, 908-865-1648, 908-865-1648, 14412 VILLAGE ROAD, 63E, JAMAICA, NY, 11435, , , 774033, 15757480, 

SALVADOR, , SANDRE, , M, , 2/16/2005, , , , , , , , , , , 16013868, 
SALVADOR, , SANDRE, , M, , 2/16/2005, 212-888-3498, 212-888-3498, , , , , , , , 723783, 15561729, 
SALVADOR, , SANDRE, , M, , 2/16/2005, 212-888-3498, 212-888-3498, 1757 STORY AVENUE, 2B, BRONX, NY, 10473, , , 768333, 15551818, 

ANASTASIA, LAURA, CAREY, , F, , 11/14/2002, , , , , , , , , , , 15563565, 
ANASTASIA, , CAREY, , F, , 11/14/2002, 917-817-7472, 917-817-7472, , , , , , , , 790778, 15438082, 
ANASTASIA, LAURA, CAREY, , F, , 11/14/2002, 917-817-7472, 917-817-7472, , , , , , , , 809136, 15914197, 

WENDY, , LOCKWOOD, , F, , 4/9/1979, , , , , , , , , , , 15412514, 
WENDY, VIOLET, LOCKWOOD, , F, , 4/9/1979, 347-854-2702, 347-854-2702, 30911 E 6TH STREET, , NEW YORK, NY, 10003, , , 802736, 15553111, 
WENDY, , LOCKWOOD, , F, , 4/9/1979, 267-597-1479, 609-538-6469^^267-597-1479, 219 EAST 121ST STREET, , NEW YORK, NY, 10035, , , 803950, 15616945, 

JUNE, , LITTLE, , F, , 10/12/2004, , , , , , , , , , , 15906123, 
JUNE, , LITTLE, , F, , 10/12/2004, 347-194-5513, 347-194-5513, 240 MADISON STREET, 12D, NEW YORK, NY, 10002, CHEN, JLITTLE@AMGGT.COM, 773211, 15375187, 
JUNE, , LITTLE, , F, , 10/12/2004, 973-651-1300, 570-113-1557^^973-651-1300, 240 MADISON STREET, 12D, NEW YORK, NY, 10002, , , 819101, 15870780, 

JULI, , RIVERA, , F, , 7/20/2014, , , , , , , , , , , 15692727, 
JULI, , RIVERA, , F, , 7/20/2014, 959-638-5055, 959-638-5055, , , , , , , , 736715, 15883131, 
JULI, , RIVERA, , F, , 7/20/2014, 959-638-5055, 959-638-5055, , , , , , , , 764998, 15757158, 

CHAD, MICHAEL, KOSTEL, , M, , 8/10/2011, , , 230 CLINTON STREET, 13D, , , 10002, , , , 15633465, 
CHAD, MICHAEL, KOSTEL, , M, , 8/10/2011, 212-371-3246, 212-371-3246, 240 MADISON STREET, 7E, NEW YORK, NY, 10002, , , 750377, 15645358, 
CHAD, MICHAEL, KOSTEL, , M, , 8/10/2011, 212-371-3246, 212-371-3246, 230 CLINTON STREET, 13D, NEW YORK, NY, 10002, , , 753013, 15929678, 

CARLO, DAVID, GROGAN, , M, , 12/29/2006, , , 1151 WARD AVENUE, PH, , , 10472, , , , 15394023, 
CARLO, DAVID, GROGAN, , M, , 12/29/2006, 267-680-3324, 267-680-3324, 2210 BRUCKNER BOULEVARD, 2, BRONX, NY, 10473, , , 725299, 15910540, 
CARLO, DAVID, GROGAN, , M, , 12/29/2006, 267-680-3324, 267-680-3324, 1151 WARD AVENUE, PH, BX, NY, 10472, , CGROGAN@AMGGT.COM, 759027, 15571235, 

PHILLIP, , RASCO, , M, , 4/23/1991, , , , , , , , , , , 15461143, 
PHILLIP, , RASCO, , M, , 4/23/1991, 609-754-3633, 609-754-3633, 1595 METROPOLITAN AVENUE, 6C, BRONX, NY, 10462, , , 735699, 15473976, 
PHILLIP, FRANK, RASCO, , M, , 4/23/1991, 609-754-3633, 732-377-4402^^609-754-3633, HOMELESS, UNK, BROOKLYN, NY, 11235, , , 738519, 15701436, 

JAMES, , FREEMAN, , M, , 12/15/1993, , , , , , , , , , , 15926022, 
JAMES, JOHN, FREEMAN, , M, , 12/15/1993, 860-882-9056, 860-882-9056, 1120 PIERCE AVENUE, 1, BRONX, NY, 10462, , , 741401, 15592058, 
JAMES, JOHN, FREEMAN, , M, , 12/15/1993, 934-776-4719, 929-104-1569^^934-776-4719, 1120 PIERCE AVENUE, 1FL, BRONX, NY, 10462, , , 812360, 15688955, 

BRENDA, PATRICIA, WAITERS, , F, , 8/3/2002, , , 219 E 121 STREET, , , , 10035, , , , 15946038, 
BRENDA, PATRICIA, WAITERS, , F, , 8/3/2002, 862-923-4165, 862-923-4165, MABON BUILDING, 13, NEW YORK, NY, 10035, , , 753453, 15729470, 
BRENDA, PATRICIA, WAITERS, , F, , 8/3/2002, 862-923-4165, 862-923-4165, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 803627, 15378621, 

CAROL, , HARGES, , F, , 3/22/2002, , , , , , , , , , , 15391316, 
CAROL, , HARGES, , F, , 3/22/2002, 203-902-4027, 203-902-4027, , , , , , , , 745329, 15695251, 
CAROL, E, HARGES, , F, , 3/22/2002, 203-902-4027, 203-902-4027, 18 COOPER STREET, 3FL, BROOKLYN, NY, 11207, , , 767948, 15711626, 

BARBARA, , RICE, , F, , 12/18/1997, , , , , , , , , , , 15759350, 
BARBARA, , RICE, , F, , 12/18/1997, 862-950-6848, 484-141-1777^^862-950-6848, , , , , , , , 786829, 15427655, 
BARBARA, A, RICE, , F, , 12/18/1997, 610-124-5816, 610-124-5816, 3152 HULL AVENUE, C3, BRONX, NY, 10467, , BRICE@AMGGT.COM, 809534, 15557783, 

JAMES, , PARKS, , M, , 11/4/2003, , , 400E 30ST, , , , 10016, , , , 15755709, 
JAMES, , PARKS, , M, , 11/4/2003, 610-726-1741, 610-726-1741, 400E 30ST, , NEW YORK, NY, 10016, , , 745141, 15891575, 
JAMES, FERNANDO, PARKS, , M, , 11/4/2003, 610-726-1741, 610-726-1741, 12602 82ND AVENUE, DOC, JAMAICA, NY, 11415, , , 784366, 15718782, 

TAI, W, RIVERA, , M, , 11/20/2011, , , 7909 GLENWOOD ROAD, , , , 11234, , , , 15397486, 
TAI, W, RIVERA, , M, , 11/20/2011, 929-572-4854, 929-572-4854, 7909 GLENWOOD ROAD, , BROOKLYN, NY, 11234, , , 719196, 15504046, 
TAI, , RIVERA, , M, , 11/20/2011, 929-572-4854, 929-572-4854, 198 MARTENSE STREET, PVT, BROOKLYN, NY, 11226, , , 800280, 15774900, 

MICHAEL, M, KING, , M, , 7/22/2010, , , 6713 BURNS STREET, PH, , , 11375, , , , 15909024, 
MICHAEL, M, KING, , M, , 7/22/2010, 973-213-6333, 973-213-6333, 6713 BURNS STREET, PH, FOREST HILLS, NY, 11375, , , 714153, 16023843, 
MICHAEL, MARK, KING, , M, , 7/22/2010, 973-213-6333, 973-213-6333, 3026 BOUCK AVENUE, N, BRONX, NY, 10469, , , 765467, 15762608, 

MICHAEL, , KWIATKOWSKI, , M, , 12/7/2007, , , , , , , , , , , 15762744, 
MICHAEL, JOSE, KWIATKOWSKI, , M, , 12/7/2007, 201-857-4624, 201-857-4624, , , , , , , , 753835, 15631476, 
MICHAEL, , KWIATKOWSKI, , M, , 12/7/2007, 201-857-4624, 201-857-4624, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 812205, 15523163, 

ERIKA, GERTRUDE, DIAZ, , F, , 8/10/1997, , , 301 E 162ND STREET, PH, , , 10451, , , , 15477229, 
ERIKA, , DIAZ, , F, , 8/10/1997, 518-647-3658, 518-647-3658, 674 E 149 STREET, 4J, BRONX, NY, 10455, , EDIAZ@AMGGT.COM, 800798, 15920096, 
ERIKA, GERTRUDE, DIAZ, , F, , 8/10/1997, 518-647-3658, 518-647-3658, 301 E 162ND STREET, PH, BRONX, NY, 10451, , , 810215, 15441998, 

SAMANTHA, I, SHARIF, , F, , 7/9/1994, , , 13016 127 STREET, PH, , , 11420, , , , 15505147, 
SAMANTHA, I, SHARIF, , F, , 7/9/1994, 732-778-7352, 732-778-7352, 13016 127 STREET, PH, SO OZONE PK, NY, 11420, , SSHARIF@AMGGT.COM, 730291, 16001279, 
SAMANTHA, , SHARIF, , F, , 7/9/1994, 732-778-7352, 732-778-7352, 10719 128 STREET, PVT, RICHMOND HILL, NY, 11419, , , 806276, 15867413, 

FRANCISCA, , JEFFERSON, , F, , 6/10/2003, , , , , , , , , , , 15827280, 
FRANCISCA, ANNIEROSE, JEFFERSON, , F, , 6/10/2003, 518-287-6393, 518-287-6393, 2877 HEATH AVENUE, 1FL, BRONX, NY, 10463, , , 716588, 15493546, 
FRANCISCA, , JEFFERSON, , F, , 6/10/2003, 518-287-6393, 518-287-6393, 2877 HEATH AVENUE, 1, BRONX, NY, 10463, WALSH, FJEFFERSON@AMGGT.COM, 800909, 15463637, 

ROBERT, , MCGUIRE, , M, , 12/9/2008, , , , , , , , , , , 15547935, 
ROBERT, SALVADOR, MCGUIRE, , M, , 12/9/2008, 973-520-6258, 570-943-7780^^973-520-6258, 1414 HAZEN STREET, , FLUSHING, NY, 11373, , , 735772, 15763248, 
ROBERT, SALVADOR, MCGUIRE, , M, , 12/9/2008, 203-672-8681, 203-672-8681, 1414 HAZEN STREET, , ELMHURST, NY, 11377, , , 761439, 16001154, 

DONNA, , CAMPBELL, , F, , 9/24/2003, , , , , , , , STILES, , , 15472574, 
DONNA, , CAMPBELL, , F, , 9/24/2003, 570-495-1399, 570-495-1399, , , , , , STILES, DCAMPBELL@AMGGT.COM, 823641, 15969770, 
DONNA, , CAMPBELL, , F, , 9/24/2003, 570-495-1399, 570-495-1399, 1949 63RD STREET, PH, BROOKLYN, NY, 11204, , , 825222, 15909245, 

DANELL, , AVANS, , F, , 8/6/2005, , , , , , , , , , , 15859235, 
DANELL, BARBARA, AVANS, , F, , 8/6/2005, 347-142-3112, 347-142-3112, 1527 STADIUM AVENUE, , BRONX, NY, 10465, , , 811299, 15984674, 
DANELL, BARBARA, AVANS, , F, , 8/6/2005, 347-142-3112, 347-142-3112, 676 PELHAM ROAD, 1, NEW ROCHELLE, NY, 10805, , , 822322, 15822782, 

CHRISTINE, , KUZNECOVA, , F, , 12/22/2006, , , 9103 182 PLACE, PVT, , , 11423, , , , 15668794, 
CHRISTINE, , KUZNECOVA, , F, , 12/22/2006, 610-186-9384, 610-186-9384, 376 AUTUMN AVENUE, , BROOKLYN, NY, 11201, , , 413908, 15458168, 
CHRISTINE, , KUZNECOVA, , F, , 12/22/2006, 610-186-9384, 610-186-9384, 9103 182 PLACE, PVT, HOLLIS, NY, 11423, , CKUZNECOVA@AMGGT.COM, 413968, 16008931, 

AWNNA, , SQUIRES, , F, , 10/2/2008, , , 1149 STRATFORD AVENUE, H, , , 10472, , , , 15420265, 
AWNNA, , SQUIRES, , F, , 10/2/2008, 610-445-9746, 610-445-9746, 1149 STRATFORD AVENUE, H, BRONX, NY, 10472, , , 791026, 15891374, 
AWNNA, , SQUIRES, , F, , 10/2/2008, 610-445-9746, 610-445-9746, 440 E 182 STREET, 30, BRONX, NY, 10457, , , 800409, 15425376, 

KIMBERLY, , MOTLEY, , F, , 12/2/2002, , , , , , , , , , , 15665552, 
KIMBERLY, , MOTLEY, , F, , 12/2/2002, 551-785-1060, 518-207-5405^^551-785-1060, 1130 JEFFERSON AVENUE, PVT, BROOKLYN, NY, 11221, , , 770002, 15809933, 
KIMBERLY, , MOTLEY, , F, , 12/2/2002, 610-643-8867, 610-643-8867, 1130 JEFFERSON AVENUE, , BROOKLYN, NY, 11221, , KMOTLEY@AMGGT.COM, 777014, 16023747, 

MARIA, , BROADWATER, , F, , 6/6/1990, , , 1400 PELHAM PARKWAY S, 3, , , 10461, , , , 15744527, 
MARIA, , BROADWATER, , F, , 6/6/1990, 570-270-5762, 570-270-5762, 1400 PELHAM PARKWAY S, 3, BRONX, NY, 10461, , , 723801, 15505747, 
MARIA, , BROADWATER, , F, , 6/6/1990, 570-270-5762, 570-270-5762, 1562 A BOGART AVENUE, 3A, BRONX, NY, 10462, , MBROADWATER@AMGGT.COM, 771380, 15871738, 

